"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"B1","1","~","","","Von Platine ausgeschlossen","",""
"C1","1","100uF","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~"
"D1","1","LED","","","Von Platine ausgeschlossen","","~"
"J1","1","Co_x6_GND","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J2","1","Co_x6_3V0","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J3","1","Co_GPIOx1","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J4","1","Co_GPIOx2","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J5","1","Co_x2_battery","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J6,J8","2","Co_x1_5V0","","","","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"J7","1","Co_GPIOx3","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"JP1,JP2","2","Bridge_I2C","","","","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
"R2,R5","2","100K","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~"
"R3,R4","2","4K7","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RV?","1","1000R","","","Von Platine ausgeschlossen","","~"
"SW1","1","SW_Reed","","","Von Platine ausgeschlossen","","~"
"SW2","1","SW_Push","","","Von Platine ausgeschlossen","","~"
"U1","1","ESP32-C3_SUPERMINI_TH","","","","ESP32-C3_SUPERMINI_TH:MODULE_ESP32-C3_SUPERMINI_TH",""
